date,total_attendances,total_over4hr,total_emerg_adm,wait_12hr_plus_dta,type1_att,type1_over4hr,national_4hr_pct,sort_order
Apr 2023,1962852,454990,490473,26492,1242513,429248,65.5,1
May 2023,2171767,514083,528935,31498,1371398,480116,65.0,2
Jun 2023,2156555,585005,522723,26488,1361908,546811,59.8,3
Jul 2023,2129791,564078,534682,23396,1353639,533044,60.6,4
Aug 2023,2042300,562230,523881,27710,1298205,535399,58.8,5
Sep 2023,2103836,607077,521228,32228,1344730,573540,57.3,6
Oct 2023,2152811,651381,546871,43534,1385546,615845,55.6,7
Nov 2023,2095750,645011,544643,42503,1357117,610050,55.0,8
Dec 2023,2109958,657236,546143,43858,1355782,619155,54.3,9
Jan 2024,2153200,652070,556254,54312,1368973,614746,55.1,10
Feb 2024,2083573,617116,527343,44420,1319340,578793,56.1,11
Mar 2024,2289703,599642,567456,42972,1431679,564319,60.6,12
Apr 2024,2163149,563068,544113,42078,1341059,534979,60.1,13
May 2024,2331010,619285,564693,42555,1439178,584646,59.4,14
Jun 2024,2215640,574514,536884,38106,1374917,547250,60.2,15
Jul 2024,2251330,568225,552468,36806,1399224,543499,61.2,16
Aug 2024,2086225,504447,525633,28494,1292332,487960,62.2,17
Sep 2024,2140977,563079,530824,38880,1335923,541162,59.5,18
Oct 2024,2280392,626992,567448,49616,1422317,601329,57.7,19
Nov 2024,2234578,634410,552161,45791,1396858,605301,56.7,20
Dec 2024,2258452,667235,552592,54207,1407530,633815,55.0,21
Jan 2025,2133300,589826,548775,61529,1326670,566267,57.3,22
Feb 2025,2008463,545676,496095,47623,1241931,521619,58.0,23
Mar 2025,2299660,588838,551129,46766,1418235,558656,60.6,24
