sort_order,month_label,total_attendances,national_4hr_pct,wait_12hr_plus_dta,total_emerg_adm
1,Apr-23,1962852,65.5,26492,490473
2,May-23,2171767,65.0,31498,528935
3,Jun-23,2156555,59.8,26488,522723
4,Jul-23,2129791,60.6,23396,534682
5,Aug-23,2042300,58.8,27710,523881
6,Sep-23,2103836,57.3,32228,521228
7,Oct-23,2152811,55.6,43534,546871
8,Nov-23,2095750,55.0,42503,544643
9,Dec-23,2109958,54.3,43858,546143
10,Jan-24,2153200,55.1,54312,556254
11,Feb-24,2083573,56.1,44420,527343
12,Mar-24,2289703,60.6,42972,567456
13,Apr-24,2163149,60.1,42078,544113
14,May-24,2331010,59.4,42555,564693
15,Jun-24,2215640,60.2,38106,536884
16,Jul-24,2251330,61.2,36806,552468
17,Aug-24,2086225,62.2,28494,525633
18,Sep-24,2140977,59.5,38880,530824
19,Oct-24,2280392,57.7,49616,567448
20,Nov-24,2234578,56.7,45791,552161
21,Dec-24,2258452,55.0,54207,552592
22,Jan-25,2133300,57.3,61529,548775
23,Feb-25,2008463,58.0,47623,496095
24,Mar-25,2299660,60.6,46766,551129
